   0.1510485E+09   0.5876916E+06  -0.1575302E+10   0.0000000E+00   0.1180325E+25  -0.2832219E+19  -0.1671748E+11   0.3839396E+01
   0.1531577E+09   0.5692529E+06  -0.1542848E+10   0.0000000E+00   0.1117812E+25  -0.2797202E+19  -0.1637424E+11   0.3839396E+01
   0.1552963E+09   0.5601542E+06  -0.1526464E+10   0.0000000E+00   0.1086143E+25  -0.2762664E+19  -0.1592736E+11   0.3839396E+01
   0.1574648E+09   0.5500728E+06  -0.1513919E+10   0.0000000E+00   0.1049930E+25  -0.2728600E+19  -0.1549269E+11   0.3839396E+01
   0.1596636E+09   0.5381636E+06  -0.1504716E+10   0.0000000E+00   0.1013645E+25  -0.2695004E+19  -0.1506991E+11   0.3839396E+01
   0.1618930E+09   0.5268344E+06  -0.1494588E+10   0.0000000E+00   0.9788343E+24  -0.2661867E+19  -0.1465869E+11   0.3839396E+01
   0.1641536E+09   0.5161776E+06  -0.1483672E+10   0.0000000E+00   0.9455777E+24  -0.2629185E+19  -0.1425870E+11   0.3839396E+01
   0.1664458E+09   0.5058384E+06  -0.1472675E+10   0.0000000E+00   0.9135477E+24  -0.2596950E+19  -0.1386966E+11   0.3839396E+01
   0.1687700E+09   0.4956676E+06  -0.1461842E+10   0.0000000E+00   0.8825758E+24  -0.2565158E+19  -0.1349124E+11   0.3839396E+01
   0.1711266E+09   0.4856727E+06  -0.1451142E+10   0.0000000E+00   0.8526296E+24  -0.2533800E+19  -0.1312317E+11   0.3839396E+01
   0.1735162E+09   0.4758784E+06  -0.1440517E+10   0.0000000E+00   0.8236970E+24  -0.2502873E+19  -0.1276517E+11   0.3839396E+01
   0.1759391E+09   0.4662896E+06  -0.1429948E+10   0.0000000E+00   0.7957517E+24  -0.2472369E+19  -0.1241695E+11   0.3839396E+01
   0.1783958E+09   0.4569005E+06  -0.1419440E+10   0.0000000E+00   0.7687591E+24  -0.2442282E+19  -0.1207824E+11   0.3839396E+01
   0.1808869E+09   0.4477046E+06  -0.1408997E+10   0.0000000E+00   0.7426851E+24  -0.2412608E+19  -0.1174880E+11   0.3839396E+01
   0.1834127E+09   0.4386975E+06  -0.1398620E+10   0.0000000E+00   0.7174977E+24  -0.2383340E+19  -0.1142836E+11   0.3839396E+01
