   0.1510485E+09   0.3820639E+06  -0.1707693E+10   0.0000000E+00   0.8524231E+24  -0.2996503E+19  -0.1842894E+11   0.7681298E+01
   0.1531577E+09   0.3697325E+06  -0.1673664E+10   0.0000000E+00   0.8066631E+24  -0.2957901E+19  -0.1805033E+11   0.7681298E+01
   0.1552963E+09   0.3636952E+06  -0.1656853E+10   0.0000000E+00   0.7833236E+24  -0.2919829E+19  -0.1755725E+11   0.7681298E+01
   0.1574648E+09   0.3569496E+06  -0.1643883E+10   0.0000000E+00   0.7569190E+24  -0.2882280E+19  -0.1707765E+11   0.7681298E+01
   0.1596636E+09   0.3491999E+06  -0.1633782E+10   0.0000000E+00   0.7306676E+24  -0.2845246E+19  -0.1661117E+11   0.7681298E+01
   0.1618930E+09   0.3419087E+06  -0.1622510E+10   0.0000000E+00   0.7055362E+24  -0.2808721E+19  -0.1615745E+11   0.7681298E+01
   0.1641536E+09   0.3349983E+06  -0.1610636E+10   0.0000000E+00   0.6814734E+24  -0.2772698E+19  -0.1571613E+11   0.7681298E+01
   0.1664458E+09   0.3282525E+06  -0.1598807E+10   0.0000000E+00   0.6582606E+24  -0.2737169E+19  -0.1528687E+11   0.7681298E+01
   0.1687700E+09   0.3216132E+06  -0.1587158E+10   0.0000000E+00   0.6358133E+24  -0.2702128E+19  -0.1486936E+11   0.7681298E+01
   0.1711266E+09   0.3150969E+06  -0.1575623E+10   0.0000000E+00   0.6141192E+24  -0.2667569E+19  -0.1446326E+11   0.7681298E+01
   0.1735162E+09   0.3087148E+06  -0.1564159E+10   0.0000000E+00   0.5931651E+24  -0.2633483E+19  -0.1406826E+11   0.7681298E+01
   0.1759391E+09   0.3024656E+06  -0.1552764E+10   0.0000000E+00   0.5729274E+24  -0.2599866E+19  -0.1368406E+11   0.7681298E+01
   0.1783958E+09   0.2963449E+06  -0.1541441E+10   0.0000000E+00   0.5533804E+24  -0.2566710E+19  -0.1331037E+11   0.7681298E+01
   0.1808869E+09   0.2903492E+06  -0.1530194E+10   0.0000000E+00   0.5344999E+24  -0.2534009E+19  -0.1294690E+11   0.7681298E+01
   0.1834127E+09   0.2844760E+06  -0.1519020E+10   0.0000000E+00   0.5162631E+24  -0.2501757E+19  -0.1259337E+11   0.7681298E+01
   0.1859738E+09   0.2787230E+06  -0.1507920E+10   0.0000000E+00   0.4986482E+24  -0.2469947E+19  -0.1224950E+11   0.7681298E+01
   0.1885706E+09   0.2730876E+06  -0.1496892E+10   0.0000000E+00   0.4816340E+24  -0.2438574E+19  -0.1191503E+11   0.7681298E+01
   0.1912038E+09   0.2675675E+06  -0.1485937E+10   0.0000000E+00   0.4652000E+24  -0.2407632E+19  -0.1158971E+11   0.7681298E+01
   0.1938737E+09   0.2621603E+06  -0.1475053E+10   0.0000000E+00   0.4493265E+24  -0.2377114E+19  -0.1127328E+11   0.7681298E+01
   0.1965808E+09   0.2568637E+06  -0.1464240E+10   0.0000000E+00   0.4339943E+24  -0.2347015E+19  -0.1096550E+11   0.7681298E+01
   0.1993258E+09   0.2516754E+06  -0.1453498E+10   0.0000000E+00   0.4191849E+24  -0.2317329E+19  -0.1066614E+11   0.7681298E+01
   0.2021091E+09   0.2465931E+06  -0.1442826E+10   0.0000000E+00   0.4048806E+24  -0.2288049E+19  -0.1037497E+11   0.7681298E+01
   0.2049313E+09   0.2416148E+06  -0.1432223E+10   0.0000000E+00   0.3910642E+24  -0.2259172E+19  -0.1009175E+11   0.7681298E+01
   0.2077928E+09   0.2367382E+06  -0.1421690E+10   0.0000000E+00   0.3777190E+24  -0.2230691E+19  -0.9816277E+10   0.7681298E+01
   0.2106944E+09   0.2319613E+06  -0.1411225E+10   0.0000000E+00   0.3648289E+24  -0.2202600E+19  -0.9548335E+10   0.7681298E+01
   0.2136364E+09   0.2272821E+06  -0.1400828E+10   0.0000000E+00   0.3523784E+24  -0.2174894E+19  -0.9287719E+10   0.7681298E+01
   0.2166196E+09   0.2226985E+06  -0.1390498E+10   0.0000000E+00   0.3403526E+24  -0.2147568E+19  -0.9034228E+10   0.7681298E+01
   0.2196443E+09   0.2182086E+06  -0.1380236E+10   0.0000000E+00   0.3287369E+24  -0.2120617E+19  -0.8787667E+10   0.7681298E+01
   0.2227114E+09   0.2138104E+06  -0.1370040E+10   0.0000000E+00   0.3175174E+24  -0.2094036E+19  -0.8547847E+10   0.7681298E+01
   0.2258212E+09   0.2095021E+06  -0.1359910E+10   0.0000000E+00   0.3066806E+24  -0.2067818E+19  -0.8314582E+10   0.7681298E+01
   0.2289745E+09   0.2052818E+06  -0.1349845E+10   0.0000000E+00   0.2962133E+24  -0.2041960E+19  -0.8087695E+10   0.7681298E+01
   0.2321718E+09   0.2011477E+06  -0.1339846E+10   0.0000000E+00   0.2861032E+24  -0.2016457E+19  -0.7867010E+10   0.7681298E+01
   0.2354137E+09   0.1970981E+06  -0.1329911E+10   0.0000000E+00   0.2763378E+24  -0.1991303E+19  -0.7652359E+10   0.7681298E+01
   0.2387010E+09   0.1931312E+06  -0.1320040E+10   0.0000000E+00   0.2669056E+24  -0.1966493E+19  -0.7443575E+10   0.7681298E+01
   0.2420341E+09   0.1892453E+06  -0.1310233E+10   0.0000000E+00   0.2577951E+24  -0.1942024E+19  -0.7240498E+10   0.7681298E+01
   0.2454137E+09   0.1854388E+06  -0.1300489E+10   0.0000000E+00   0.2489953E+24  -0.1917889E+19  -0.7042973E+10   0.7681298E+01
