   0.2106944E+09   0.2316611E+06  -0.1786869E+10   0.0000000E+00   0.5118933E+24  -0.2875451E+19  -0.1287098E+11   0.1024679E+02   0.9464584E+23   0.8251748E+09   0.8560519E+34  -0.1419717E+52
   0.2136364E+09   0.2269792E+06  -0.1773723E+10   0.0000000E+00   0.4943561E+24  -0.2838105E+19  -0.1251948E+11   0.1024679E+02   0.9148211E+23   0.8195904E+09   0.8560905E+34  -0.1419717E+52
   0.2166196E+09   0.2223929E+06  -0.1760663E+10   0.0000000E+00   0.4774184E+24  -0.2801271E+19  -0.1217759E+11   0.1024679E+02   0.8842487E+23   0.8140452E+09   0.8561299E+34  -0.1419717E+52
   0.2196443E+09   0.2179003E+06  -0.1747688E+10   0.0000000E+00   0.4610595E+24  -0.2764943E+19  -0.1184505E+11   0.1024679E+02   0.8547052E+23   0.8085391E+09   0.8561701E+34  -0.1419717E+52
   0.2227114E+09   0.2134995E+06  -0.1734797E+10   0.0000000E+00   0.4452599E+24  -0.2729114E+19  -0.1152160E+11   0.1024679E+02   0.8261558E+23   0.8030717E+09   0.8562112E+34  -0.1419717E+52
   0.2258212E+09   0.2091886E+06  -0.1721990E+10   0.0000000E+00   0.4300003E+24  -0.2693776E+19  -0.1120699E+11   0.1024679E+02   0.7985669E+23   0.7976428E+09   0.8562532E+34  -0.1419717E+52
   0.2289745E+09   0.2049657E+06  -0.1709267E+10   0.0000000E+00   0.4152624E+24  -0.2658923E+19  -0.1090099E+11   0.1024679E+02   0.7719061E+23   0.7922521E+09   0.8562961E+34  -0.1419717E+52
   0.2321718E+09   0.2008291E+06  -0.1696626E+10   0.0000000E+00   0.4010283E+24  -0.2624548E+19  -0.1060335E+11   0.1024679E+02   0.7461420E+23   0.7868995E+09   0.8563399E+34  -0.1419717E+52
   0.2354137E+09   0.1967769E+06  -0.1684067E+10   0.0000000E+00   0.3872809E+24  -0.2590645E+19  -0.1031385E+11   0.1024679E+02   0.7212443E+23   0.7815845E+09   0.8563846E+34  -0.1419717E+52
   0.2387010E+09   0.1928075E+06  -0.1671590E+10   0.0000000E+00   0.3740035E+24  -0.2557207E+19  -0.1003227E+11   0.1024679E+02   0.6971838E+23   0.7763070E+09   0.8564303E+34  -0.1419717E+52
   0.2420341E+09   0.1889191E+06  -0.1659193E+10   0.0000000E+00   0.3611801E+24  -0.2524228E+19  -0.9758381E+10   0.1024679E+02   0.6739320E+23   0.7710667E+09   0.8564770E+34  -0.1419717E+52
   0.2454137E+09   0.1851100E+06  -0.1646877E+10   0.0000000E+00   0.3487951E+24  -0.2491701E+19  -0.9491983E+10   0.1024679E+02   0.6514618E+23   0.7658633E+09   0.8565246E+34  -0.1419717E+52
   0.2488406E+09   0.1813788E+06  -0.1634641E+10   0.0000000E+00   0.3368337E+24  -0.2459621E+19  -0.9232869E+10   0.1024679E+02   0.6297467E+23   0.7606967E+09   0.8565733E+34  -0.1419717E+52
   0.2523153E+09   0.1777236E+06  -0.1622484E+10   0.0000000E+00   0.3252813E+24  -0.2427980E+19  -0.8980839E+10   0.1024679E+02   0.6087612E+23   0.7555665E+09   0.8566231E+34  -0.1419717E+52
