   0.2704303D+09   0.7190274D+07   0.0000000D+00   0.0000000D+00   0.2713579D+25  -0.9162394D+18  -0.9978693D+09
   0.2742065D+09   0.6885020D+07   0.0000000D+00   0.0000000D+00   0.2577362D+25  -0.9124807D+18  -0.9925523D+09
   0.2780354D+09   0.6592023D+07   0.0000000D+00   0.0000000D+00   0.2447512D+25  -0.9086909D+18  -0.9867404D+09
   0.2819178D+09   0.6309697D+07   0.0000000D+00   0.0000000D+00   0.2324226D+25  -0.9048717D+18  -0.9804618D+09
   0.2858544D+09   0.6040120D+07   0.0000000D+00   0.0000000D+00   0.2207632D+25  -0.9010248D+18  -0.9737458D+09
   0.2898459D+09   0.5782533D+07   0.0000000D+00   0.0000000D+00   0.2096486D+25  -0.8971517D+18  -0.9666242D+09
   0.2938932D+09   0.5536280D+07   0.0000000D+00   0.0000000D+00   0.1990874D+25  -0.8932542D+18  -0.9591266D+09
   0.2979970D+09   0.5304072D+07   0.0000000D+00   0.0000000D+00   0.1891115D+25  -0.8893338D+18  -0.9512868D+09
   0.3021581D+09   0.5082606D+07   0.0000000D+00   0.0000000D+00   0.1796542D+25  -0.8853919D+18  -0.9431378D+09
   0.3063773D+09   0.4802483D+07   0.0000000D+00   0.0000000D+00   0.1707132D+25  -0.8814300D+18  -0.9345844D+09
   0.3106554D+09   0.4610258D+07   0.0000000D+00   0.0000000D+00   0.1622653D+25  -0.8774504D+18  -0.9256721D+09
   0.3149933D+09   0.4445058D+07   0.0000000D+00   0.0000000D+00   0.1542225D+25  -0.8734544D+18  -0.9165954D+09
   0.3193917D+09   0.4284656D+07   0.0000000D+00   0.0000000D+00   0.1465041D+25  -0.8694428D+18  -0.9074016D+09
   0.3238516D+09   0.4129343D+07   0.0000000D+00   0.0000000D+00   0.1391317D+25  -0.8654164D+18  -0.8980988D+09
   0.3283737D+09   0.3979194D+07   0.0000000D+00   0.0000000D+00   0.1321127D+25  -0.8613761D+18  -0.8886958D+09
